[main_menu]|en|ru
account_link_prompt_register_steam|Your Steam account will be automatically linked to a new PanicNet account at creation. This linking cannot be reversed or changed once the process is complete, which means that you will not be able to link another PanicNet account using this Steam account. Only this Steam account can access the registered account on Steam.|Ваш аккаунт Steam будет автоматически привязан к новой учетной записи PanicNet при её создании. Эту привязку нельзя отменить или изменить. вы не сможете привязать другой аккаунт PanicNet к этому профилю Steam.
account_link_prompt_register_android|Your Google Play account will be automatically linked to a new PanicNet account at creation. This linking cannot be reversed or changed once the process is complete, which means that you will not be able to link another PanicNet account using this Google Play account. Only this Google Play account can access the registered account on Android platforms.|Ваш аккаунт Google Play будет автоматически привязан к новой учетной записи PanicNet при её создании. Эту привязку нельзя отменить или изменить. вы не сможете привязать другой аккаунт PanicNet к этому профилю Google Play.
account_link_prompt_register_psn|Important: Your account for PlayStation™Network will be automatically linked to a new PanicNet account at creation. This linking cannot be reversed or changed once the process is complete, which means that you will not be able to access another PanicNet account using this account for PlayStation™Network.|Важно: ваш аккаунт PlayStation™Network будет автоматически привязан к новой учетной записи PanicNet при её создании. Эту привязку нельзя отменить или изменить. вы не сможете использовать другой аккаунт PanicNet через этот профиль PlayStation™Network.
greetings_hero|Greetings, Hero!|Приветствуем, герой!
account_link|Account Link|Привязка аккаунта
link_account|Link account|Привязать аккаунт
your_panicnet_account|Your [c_panicnet]PanicNet[c_reset] account|Ваша учетная запись [c_panicnet]PanicNet[c_reset]
would_be_linked_to|Would be linked to|Будет связана с
register_account_link_info|To play Hero Siege online, your registered PanicNet account must be linked to your [platform_name] account.[nl][nl][c_yellow]Important:[c_reset][nl][nl]Each PanicNet account can only be linked to one account per platform - for example, one Steam, one Google Play account, etc.[nl][nl]These links are permanent and cannot be changed later.[nl][nl]After linking, online play via [platform_name] will only be accessible on this [platform_name] account.[nl][nl][c_yellow]If you already have an unlinked PanicNet account[c_reset], simply log in to it and complete the linking - no need to register a new one. |Для игры в Hero Siege по сети ваш аккаунт PanicNet должен быть привязан к профилю [platform_name].[nl][nl][c_yellow]Важно:[c_reset][nl][nl]Аккаунт PanicNet можно привязать только к одному профилю на каждой платформе (например, один Steam, один Google Play и т. д.).[nl][nl]Привязка является постоянной.[nl][nl]После этого сетевая игра будет доступна только через этот профиль [platform_name].[nl][nl][c_yellow]Если у вас уже есть аккаунт PanicNet[c_reset], просто войдите в него для завершения привязки — регистрировать новый не нужно.
verified|Verified|Подтверждено
unverified|Unverified|Не подтверждено
||
[Blood Pact modifiers]||
blood_pact_pack_size|Extra monster pack sizes|Дополнительная численность групп монстров
blood_pact_magic_find|Magic Find|Магический поиск (MF)
blood_pact_as_cast_rate|Attack Speed / Cast Rate|Скорость атаки/Скорость каста
blood_pact_angelic_rate|Angelic/Unholy drop rate|Шанс выпадения ангельских и нечестивых предметов (Angelic/Unholy)
blood_pact_heroic_rate|SS Satanic/Heroic drop rate|Шанс выпадения сатанинских (SS) и героических предметов (Satanic/Heroic)
blood_pact_experience_gain|Experience gain|Прирост опыта
blood_pact_movement_speed|Total Movement Speed|Общая скорость передвижения
blood_pact_total_damage|Total Damage dealt|Общий нанесенный урон
blood_pact_dimension_shards|Dimensional Shards needed|Требуется пространственных осколков
blood_pact_battle_fragments|Battle Fragments needed|Необходимые фрагменты битвы
blood_pact_prime_evil_parts|Prime Evil part drop rate|Шанс выпадения частей Изначального Зла (Prime Evil)
blood_pact_rune_rate|Rune drop rate|Шанс выпадения рун
blood_pact_extra_sub_skills|Extra sub skill points|Доп. очки вторичных навыков
blood_pact_chaos_tower_spawn_rate|Chaos Tower spawn rate|Шанс появления Башни Хаоса (Chaos Tower)
blood_pact_eternal_battle_field_rate|Battle Field spawn rate|Шанс появления Поля вечной битвы (Battle Field)
blood_pact_rift_rate|Rift spawn rate|Шанс появления Разлома (Rift)
blood_pact_dungeon_key_rate|Dungeon Key drop rate|Шанс выпадения ключей подземелья (Dungeon Keys)
blood_pact_disable_uniques|Disable unique drops|Отключить выпадение уникальных предметов
blood_pact_colosseum_fragments|Colosseum Fragments needed|Необходимы фрагменты Колизея
blood_pact_satanic_rate|Satanic drop rate|Шанс выпадения сатанических предметов
blood_pact_relic_rate|Relic drop rate|Шанс выпадения реликвий
blood_pact_gold_rate|Extra Gold per Monster kill|Бонус к золоту за убийство монстра
blood_pact_boss_gem_rate|Boss Gem drop rate|Шанс выпадения самоцветов босса
blood_pact_angelic_rune_rate|Angelic Rune drop rate|Шанс выпадения ангельских рун
blood_pact_extra_ore|Extra ore drops|Дополнительная добыча руды
blood_pact_bifrost_key_rate|Bifröst Key drop rate|Шанс выпадения ключа Биврёста (Bifröst)
blood_pact_monster_life|Extra Monster life|Увеличенное здоровье монстров
blood_pact_monster_damage|Extra Monster damage|Увеличенный урон монстров
blood_pact_scroll_of_ra|Scroll of Ra drop rate|Шанс выпадения свитка Ра
blood_pact_orb_rate|Orb drop rate|Шанс выпадения сфер
||
[Blood Pact]||
blood_pact_leave_prompt|Are you sure you want to leave the Blood Pact? You can not return unless you are invited again.|Вы уверены, что хотите покинуть Blood Pact? Вы не сможете вернуться, пока не получите новое приглашение.
blood_pact_start_prompt|Are you sure you want to start the Blood Pact?|Вы уверены, что хотите заключить Blood Pact?
blood_pact_join_prompt|Are you sure you want to join this Blood Pact?|Вы уверены, что хотите присоединиться к этому Blood Pact?
blood_pact_enter_account|Enter account id|Введите ID учетной записи
blood_pact_invite_send_success|[c_red][wavy]Invite sent succesfully![c_reset][shake_reset]|[c_red][wavy]Приглашение успешно отправлено![c_reset][shake_reset]
blood_pact_invite_send_failed|[c_red]Invite send failed...[c_reset]|[c_red]Не удалось отправить приглашение...[c_reset]
blood_pact_custom_modifiers|Your [c_red]Custom Modifiers[c_reset]|Ваши [c_red]Особые модификаторы[c_reset]
blood_pact_extend|Extend|Продлить
blood_pact_expand|Expand|Расширить
blood_pact_ends|Blood Pact ends:|Blood Pact истекает:
blood_pact_ended|Blood Pact ended|Действие Blood Pact истекло
blood_pact_invite_one|Blood Pact invite|Приглашение в Blood Pact
blood_pact_invite_many|Blood Pact invites|Приглашения в Blood Pact
blood_pact_edit_available_one|Edit available|Доступно редактирование
blood_pact_edit_available_many|Edits available|Доступно правок
blood_pact_list_own|Your Blood Pacts|Ваши Blood Pact
blood_pact_extend_prompt|Are you sure you want to extend the pact and consume a Blood Pact token?|Вы уверены, что хотите продлить пакт, потратив жетон Blood Pact?
||
||
blood_pact_create_title|Create a Blood Pact|Создать Blood Pact
blood_pact_expand_title|Expand your Blood Pact|Расширить Blood Pact
blood_pact_create_info|What is a [c_red]Blood Pact[c_reset]?[nl][nl][c_red]Blood Pact[c_reset] is a customizable private league game mode.[nl][nl]They come in six sizes, in which [c_coin]10 to 250 friends[c_reset] can play together.[nl][c_red]Blood Pact[c_reset] lasts for [c_coin]15 days[c_reset]. After creation, the pact modifiers can be adjusted before starting the 15 day timer.[nl]The pact can also be extended after starting by using more [c_red]Blood Pact[c_reset] tokens.[nl][nl]Customizations include [c_aqua]drop rates[c_reset], [c_yellow]experience gain[c_reset], monster density and much more.[nl][nl]You can also manage your pending [c_red]Blood Pact[c_reset] invites here. You can be a part of up to [c_coin]20[c_reset] [c_red]Blood Pacts[c_reset] at the same time.|Что такое [c_red]Blood Pact[c_reset]?[nl][nl][c_red]Blood Pact[c_reset] — это особый режим игры в частных лигах.[nl][nl]Существует шесть размеров Пакта, позволяющих играть вместе группам от [c_coin]10 до 250 соратников[c_reset].[nl][c_red]Blood Pact[c_reset] заключается на [c_coin]15 дней[c_reset]. После создания Вы сможете настроить модификаторы, прежде чем запустите 15-дневный таймер.[nl]Срок действия можно продлить и после запуска, используя дополнительные жетоны [c_red]Blood Pact[c_reset].[nl][nl]Настройки включают [c_aqua]шанс выпадения предметов[c_reset], [c_yellow]получаемый опыт[c_reset], плотность монстров и многое другое.[nl][nl]Здесь же можно управлять приглашениями в [c_red]Blood Pact[c_reset]. Вы можете состоять в [c_coin]20[c_reset] [c_red]Blood Pact[c_reset] одновременно.
blood_pact_manage_info|Here you can manage your [c_red]Blood Pact[c_reset] before it has been started.[nl][nl]You can have up to [c_coin][var,pactSize] members[c_reset] in your [c_red]Blood Pact[c_reset].[nl][nl]You can promote members to [c_coin]Officers[c_reset], who can invite, uninvite and kick members of the Pact.[nl][nl]The [c_red]Blood Pact[c_reset] creator can edit the [c_red]Blood Pact[c_reset] description, modifiers and hardcore gamemode from the [c_coin]Edit[c_reset] menu. The [c_red]Blood Pact[c_reset] modifiers can be freely edited before starting the Pact, two times after starting the Pact and twice more at any time for each Blood Pact Token used to extend or expand the [c_red]Blood Pact[c_reset].[nl][nl]When you are happy with your [c_red]Blood Pact[c_reset] modifiers, you can start the Pact![nl][nl]Remember, a [c_red]Blood Pact[c_reset] lasts for [c_coin]15 days[c_reset] after starting![nl][nl]You can extend the [c_red]Blood Pact[c_reset] end date at any time by using a [c_coin][var,pactSize] player Blood Pact token[c_reset].[nl][nl][c_red]Blood Pact[c_reset] members can also be managed after starting. |Здесь Вы можете настроить [c_red]Blood Pact[c_reset] перед его началом.[nl][nl]Ваш [c_red]Blood Pact[c_reset] может вместить до [c_coin][var,pactSize] участников[c_reset].[nl][nl]Вы можете назначать [c_coin]Офицеров[c_reset], наделяя их правом приглашать и исключать участников.[nl][nl]Создатель [c_red]Blood Pact[c_reset] может изменять описание, модификаторы и хардкорный режим в меню [c_coin]Редактировать[c_reset]. Модификаторы можно свободно менять до начала действия Пакта; после запуска доступно две правки, и еще по две за каждый жетон, использованный для продления или расширения [c_red]Blood Pact[c_reset].[nl][nl]Когда настройки Вас устроят, Вы сможете заключить Пакт![nl][nl]Помните: [c_red]Blood Pact[c_reset] длится [c_coin]15 дней[c_reset] с момента запуска![nl][nl]Вы можете продлить срок действия в любой момент, используя жетон [c_coin][var,pactSize] игроков[c_reset].[nl][nl]Участниками [c_red]Blood Pact[c_reset] можно управлять и после его начала.
blood_pact_started_info|Your [c_red]Blood Pact[c_reset] has begun.[nl][nl]You can have up to [c_coin][var,pactSize] members[c_reset] in your [c_red]Blood Pact[c_reset].[nl][nl][c_red]Blood Pact[c_reset] members can be managed here.[nl][nl]Custom modifiers of your [c_red]Blood Pact[c_reset] can be seen on the left.[nl][nl]You can extend the [c_red]Blood Pact[c_reset] time by using more [c_coin][var,pactSize] player Blood Pact tokens[c_reset]. [c_red]Blood Pact[c_reset] can also be extended any time after it has ended, allowing you to continue from where you left off.[nl][nl]The [c_red]Blood Pact[c_reset] can also be expanded to a larger size, which also grants additional [c_coin]7 days[c_reset] to the pact.[nl]Characters in the [c_red]Blood Pact[c_reset] can only be played when the [c_red]Blood Pact[c_reset] is active.[nl][nl][c_coin]May the gods be with you![c_reset]|Ваш [c_red]Blood Pact[c_reset] начался.[nl][nl]В нем может состоять до [c_coin][var,pactSize] участников[c_reset].[nl][nl]Здесь можно управлять списком участников.[nl][nl]Выбранные модификаторы отображаются слева.[nl][nl]Вы можете продлить время действия, используя жетоны [c_coin][var,pactSize] игроков[c_reset]. [c_red]Blood Pact[c_reset] можно продлить даже после его завершения, что позволит продолжить путь с того же места.[nl][nl]Размер [c_red]Blood Pact[c_reset] можно увеличить — это также добавит [c_coin]7 дней[c_reset] к его сроку.[nl]Персонажи этой лиги доступны только пока активен [c_red]Blood Pact[c_reset].[nl][nl][c_coin]Да пребудут с Вами боги![c_reset]
blood_pact_expand_info|You can expand the [c_red]Blood Pact[c_reset] by using a larger [c_red]Blood Pact[c_reset] token.[nl]Expanding the [c_red]Blood Pact[c_reset] also grants an additional [c_coin]7 active days[c_reset] to the [c_red]Blood Pact[c_reset].|Вы можете расширить [c_red]Blood Pact[c_reset], использовав жетон более высокого уровня.[nl]Расширение также добавит [c_coin]7 активных дней[c_reset] к сроку действия [c_red]Blood Pact[c_reset].
blood_pact_not_active|Blood Pact not active! You can continue playing the character by extending the Blood Pact.|Blood Pact не активен! Вы сможете продолжить игру этим персонажем, продлив Blood Pact.
blood_pact_invalid_character|This character belongs to another Blood Pact. You can continue playing by getting invited back to this Blood Pact.|Этот персонаж принадлежит другому Blood Pact. Вы сможете продолжить игру, если вновь получите приглашение в этот Blood Pact.
blood_pact_ended|Blood Pact has ended.|Действие Blood Pact завершено.
blood_pact_settings_changed|Blood Pact settings changed.|Настройки Blood Pact изменены.
pact_promote|Promote to officer|Повысить до офицера
pact_demote|Demote officer|Разжаловать офицера
pact_kick|Kick|Исключить
blood_pact_kick|Are you sure you want to remove this player from the Blood Pact?|Вы уверены, что хотите исключить этого игрока из Blood Pact?
market_filter_reset|Reset Filters|Сбросить фильтры
blood_pact_can_not_leave|As the creator of the Blood Pact you can only leave when the Blood Pact has ended.|Как создатель Blood Pact, Вы можете покинуть его только после завершения срока действия.
blood_pact_can_not_leave_must_promote|To leave the Blood Pact you must first promote another member of the Blood Pact to be the new owner.|Чтобы покинуть Blood Pact, Вы должны сначала передать права владельца другому участнику.
blood_pact_change_owner|Promote to Owner|Назначить владельцем
blood_pact_change_owner_prompt|Are you sure you want to hand over the Blood Pact ownership? This action can’t be undone.|Вы уверены, что хотите передать права владения Blood Pact? Это действие нельзя отменить.
