[npc]|en|ru
valhalla_lore_jormungandr|[c_aqua]Jormungandr, the World Serpent[c_reset], born of [c_red]Loki's[c_reset] mischief, stretches his massive coils around the realms, filling oceans and swallowing storms. Bound to the prophecy of Ragnarok, his hunger for destruction lies coiled in the depths. When he rises, gods will tremble, the skies will split, and his venom will seep into the world.|[c_aqua]Ёрмунганд, Мировой Змей[c_reset], рожденный коварством [c_red]Локи[c_reset], опоясывает миры своими кольцами, заполняя океаны и поглощая штормы. Связанный пророчеством Рагнарёка, он таит жажду разрушения в глубинах. Когда он восстанет, боги задрожат, небеса расколются, а его яд пропитает весь мир.
||
ahriman_npc_name|Ahriman|Ахриман
ahriman_npc_title|Crow Keeper|Повелитель ворон
ahriman_chain_1|You there! You look like a tough adventurer ready to slay some monsters! I am Ahriman, the keeper of Crows. I have a problem, there is a large rat bastard I've named [c_red]Fragrat[c_reset] who murdered and ate one of my belowed crows. I want you to find and kill Fragrat! I'll pay you handsomely. Last time I saw the bastard he took shelter in a Rat Den. Help me out, will you?|Эй, ты! Похоже, ты крутой искатель приключений, готовый покрошить монстров! Я Ахриман, повелитель ворон. У меня проблема: огромная крыса-ублюдок по кличке [c_red]Фраграт[c_reset] убила и сожрала одну из моих любимых ворон. Я хочу, чтобы ты нашел и убил Фраграта! Я щедро заплачу. В последний раз я видел, как эта тварь скрылась в Крысином логове. Выручишь меня?
ahriman_chain_1_complete|Thank you, [heroname]. Here is your handsome reward! I also have another task for you, should you be interested…|Спасибо, [heroname]. Вот твоя щедрая награда! У меня есть еще одно поручение, если тебе интересно...
ahriman_chain_2|My birds are hungry! After the incident with Fragrat, they deserve a proper feast! Collect me some maggots and [c_red]crimson pumpkins[c_reset] and make some nice maggot stew to feed them. Should you accept, I'll meet you at my house in [c_yellow]The Dark Woods[c_reset]!|Мои птицы голодны! После случая с Фрагратом они заслужили настоящий пир! Собери мне немного личинок и [c_red]багровых тыкв[c_reset] и приготовь славное рагу из личинок, чтобы накормить их. Если согласен, встретимся в моем доме в [c_yellow]Темном лесу[c_reset]!
ahriman_chain_2_complete|This is delicious. With this stew my crows will be re-energized and ready to work! There is still one thing I require from you.|Восхитительно. Это рагу вернет моим воронам силы, и они снова будут готовы к работе! Мне нужно от тебя кое-что еще.
ahriman_chain_3|I used to have a spellbook called ''Murder of Crows'' which allowed me to have full control of my flock. It was stolen by one of Gurag's minions a long time ago. If you can find it and bring it back to me I shall be the most powerful Crow Keeper Tarethiel has ever seen! I am quite confident that the book is hidden somewhere in the Gurag's dungeons. Find it and bring it to me, and I will forever be in your debt.|Раньше у меня была книга заклинаний под названием «Стая воронов», позволявшая полностью контролировать мою стаю. Давным-давно ее украл один из прислужников Гурага. Если найдешь ее и вернешь мне, я стану самым могущественным Повелителем ворон в истории Таретиэля! Я почти уверен, что книга спрятана где-то в подземельях Гурага. Найди ее и принеси мне, и я буду вечно у тебя в долгу.
ahriman_chain_3_complete|The [c_aqua]MURDER OF CROWS[c_reset]! Wait… this is not the right spellbook. This is something else entirely. I can't understand anything written here. A fair attempt, hero, but this is not what I wanted. You can keep it, maybe it will be useful to you… I'll see you around.|[c_aqua]СТАЯ ВОРОНОВ[c_reset]! Постой... это не та книга заклинаний. Это вообще что-то другое. Я ничего не понимаю из написанного здесь. Хорошая попытка, герой, но это не то, что я хотел. Оставь ее себе, может, тебе пригодится... Увидимся.
ahriman_chain_inprogress|Go on, stranger!|Ступай, незнакомец!
ahriman_bless|Blessed be [heroname]!|Будь благословен, [heroname]!
||
anita_npc_name|Anita|Анита
anita_npc_title|Herbalist|Травница
anita_chain_1|Help! My name is Anita, I'm a herbalist from Danethorpe. I was on my regular path collecting herbs, but I got attacked and mauled by a grizzly bear. I don't have long, the wounds are going to take me soon, unless you help me! Bring me some Ginseng and I can heal my wounds! Please, help me...|Помогите! Меня зовут Анита, я травница из Дейнторпа. Я как обычно собирала травы, но на меня напал гризли и сильно изодрал. Мне осталось недолго, раны скоро погубят меня, если ты не поможешь! Принеси мне Женьшень, и я смогу исцелить раны! Пожалуйста, помоги...
anita_chain_1_complete|You did it! Thank you so much. I'll be heading back to Danathorpe to fully recover, but I have another task for you later, if you don't mind helping a lady in distress a little bit more.|Ты спас меня! Огромное спасибо. Я отправлюсь обратно в Дейнторп, чтобы окончательно поправиться, но позже у меня будет еще одна просьба, если ты не против еще немного помочь даме в беде.
anita_chain_2|Greetings, hero! I am so thankful to you that words can not express it. I still have a huge problem though. I had to abandon the Herbalism pouch while running away from the bear. I think it dropped near the frozen cellar. Can you locate the bag and bring it back to me? It's filled with the most potent and rare herbs I had, I really need it back.|Приветствую, герой! Не выразить словами, как я тебе благодарна. Но у меня осталась большая проблема. Убегая от медведя, мне пришлось бросить сумку травника. Кажется, она упала возле ледяного погреба. Можешь найти сумку и вернуть мне? Она полна самых мощных и редких трав, она мне очень нужна.
anita_chain_2_complete|Very well done, hero. This is everything I lost! You know, to express my gratitude I could make you a very powerful armor. The only thing I need to finish it would require revenge on a certain bear...|Отлично сработано, герой. Это все, что я потеряла! Знаешь, в знак благодарности я могла бы сделать для тебя очень мощную броню. Единственное, что нужно для ее завершения — это месть одному медведю...
anita_chain_3|The bear that almost mauled me to death is a huge Grizzly Bear the locals know as Carnage. I want him dead! If you can track and kill Carnage I get my revenge and you will get your armor. Bring me Carnage's hide!|Медведь, который меня чуть не убил — это огромный гризли, которого местные зовут Карнаж (Резня). Я хочу его смерти! Если ты выследишь и убьешь Карнажа, я буду отомщена, а ты получишь броню. Принеси мне шкуру Карнажа!
anita_chain_3_complete|Carnage is dead! My gathering route just got way less dangerous. Here, hero, I finished your armor. You have definitely earned it. [shake_letter]blows kiss|Карнаж мертв! Теперь мой маршрут сбора трав стал куда безопаснее. Вот, герой, я закончила твою броню. Ты определенно ее заслужил. [shake_letter]*шлет воздушный поцелуй*
anita_chain_inprogress|...|...
||
jasper_npc_name|Jasper Jackson|Джаспер Джексон
jasper_npc_title|Archeologist|Археолог
jasper_chain_1|Hey you! Yeah, I'm talking to you, whatever the hell you are supposed to be. I have a job for you. Go get my trusty whip. I would do it myself, but I don't have my trusty whip. Some orc must have taken it.|Эй ты! Да, я с тобой говорю, кем бы ты, черт возьми, ни был. У меня есть для тебя работа. Пойди и верни мой верный хлыст. Я бы сделал это сам, но у меня нет моего верного хлыста. Должно быть, его стащил какой-то орк.
jasper_chain_1_complete|Took you long enough. Here's some gold. Get out of my sight, you are ruining the scenery.|Долго же ты копался. Вот золото. А теперь сгинь с глаз моих, ты портишь мне вид.
jasper_chain_2|"I heard about a map. This map would show where the Staff of Anubis is located. GET ME THAT MAP! My intel tells me it's somewhere called ""Cauflax Tomb"" whatever the hell that place is. Go away now."|Я слышал о карте. Карта, на которой указано местоположение Посоха Анубиса. ДОСТАНЬ МНЕ ЭТУ КАРТУ! Мои источники говорят, что она где-то в «Гробнице Кофлакса», что бы это за дыра ни была. А теперь иди.
jasper_chain_2_complete|What took you so long? Whatever, don't answer. Here is some gold. Let me inspect the map.|Что так долго? Неважно, не отвечай. Вот золото. Дай мне осмотреть карту.
jasper_chain_3|The map shows that the staff is hidden in a remote tomb inside the Treasure Room in Mysterious Pyramid. I would go get it myself, but you are already familiar with the map. Just go. Bring me the staff and I'll pay you more than you can spend. GO!|Карта показывает, что посох спрятан в отдаленной гробнице внутри Сокровищницы в Таинственной пирамиде. Я бы пошел сам, но ты уже знаешь карту. Просто иди. Принеси мне посох, и я заплачу тебе больше, чем ты сможешь потратить. ПОШЕЛ!
jasper_chain_3_complete|I don't give meaningless compliments, but in this case I'll make an exception. Good job. Now take your reward and move it.|Я не разбрасываюсь комплиментами попусту, но в этом случае сделаю исключение. Хорошая работа. А теперь бери награду и проваливай.
jasper_chain_inprogress|Get to work!|За работу!
||
ragnar_npc_name|Ragnar|Рагнар
ragnar_npc_title|Alcoholic|Алкоголик
ragnar_chain_1|[shake_letter]BURP[shake_reset] huh?? Oh hey... [shake_letter]BURP[shake_reset] Help me out, friend. I've got a terrible hangover from all the Belly Beer me and my friend [c_lime]Hurrdurr[c_reset] were drinking last night. [shake_letter]BURP[shake_reset]... If you can get me some Devils Cabbage from the Old Copper Mine it would really pick me up if you catch my drift. [shake_letter]BURP[shake_reset].|[shake_letter]ИК[shake_reset] а?? О, привет... [shake_letter]ИК[shake_reset] Выручай, друг. У меня жуткое похмелье от того Пузатого пива, что мы с моим другом [c_lime]Хуррдурром[c_reset] выдули вчера вечером. [shake_letter]ИК[shake_reset]... Если принесешь мне немного Чертовой капусты из Старой медной шахты, это меня реально взбодрит, если ты понимаешь, о чем я. [shake_letter]ИК[shake_reset].
ragnar_chain_1_complete|Ahhh this [shake_letter]BURP[shake_reset] is the good stuff. Already feeling better. Have some Beer Belly, friend. Don't drink too much of it!|Аххх, вот это [shake_letter]ИК[shake_reset] добрая вещь. Уже полегчало. Держи немного Пузатого, друг. Только не пей слишком много!
ragnar_chain_2|Like I said, I was out with Hurrdurr last night... and I haven't heard from him since! My memories from last night are a bit foggy, you know. I hope nothing bad has happened to him. Last thing I remember from last night was partying it out with Hurrdurr at the Abandoned Mine. Maybe you could find some clues to his whereabouts over there?|Как я и говорил, вчера я гулял с Хуррдурром... и с тех пор о нем ни слуху ни духу! Воспоминания о прошлой ночи слегка туманны, знаешь ли. Надеюсь, с ним ничего плохого не случилось. Последнее, что я помню — мы тусили с Хуррдурром в Заброшенной шахте. Может, поищешь там какие-нибудь зацепки?
ragnar_chain_2_complete|Hurrdurr's cart... but where is [c_lime]Hurrdurr[c_reset]?|Вагонетка Хуррдурра... но где же сам [c_lime]Хуррдурр[c_reset]?
ragnar_chain_3|Oh no! Hurrdurr loves that Mining Cart. He basically lives in it. WAIT! I remember something else... Yes! We got into a pretty funky situation last night at the Damien's Realm. Please check it out. I'm so worried about him. Hurrdurr is not all there, you know. Something really bad might have happened.|О нет! Хуррдурр обожает эту вагонетку. Он практически живет в ней. ПОСТОЙ! Я вспомнил кое-что еще... Да! Вчера вечером мы вляпались в довольно мутную историю в Царстве Дэмиена. Пожалуйста, проверь там. Я так за него волнуюсь. У Хуррдурра не все дома, знаешь ли. Могло случиться что-то действительно плохое.
ragnar_chain_3_complete|Hurr…durr. Did Ragnar send you to rescue me? I think it's too late my friend. It is allright, Hurrdurr dies to his wounds from a glorious battle and will be taking his place in Valhalla! I just hope I get to take my Mining Cart to the afterlife…|Хурр... дурр. Рагнар послал тебя спасти меня? Думаю, уже слишком поздно, друг мой. Все в порядке, Хуррдурр умирает от ран, полученных в славной битве, и займет свое место в Вальхалле! Надеюсь только, мне разрешат взять мою вагонетку в загробную жизнь...
ragnar_chain_3_complete_wee|To Valhalla! [shake_letter][c_lime]Weeeeeeeeeeeeeeeee!|В Вальхаллу! [shake_letter][c_lime]Уиииииииииииии!
ragnar_chain_inprogress|[shake_letter]BURP|[shake_letter]ИК
||
aki_npc_name|Aki|Аки
aki_npc_title|Fisherman|Рыбак
aki_chain_1|Misty morning, traveler. My name is Aki and I could use your help. I caught a HUGE tuna fish with my trysty rod, but the damn monster got away along with my fishing rod! I need you to collect some materials, so I can make a new, sturdier one! Bamboo should work, will you help me out? You are welcome to use my workbench over there|Туманное утро, путник. Меня зовут Аки, и мне бы не помешала твоя помощь. Я поймал ОГРОМНОГО тунца на свою верную удочку, но проклятое чудище ушло вместе с ней! Мне нужно, чтобы ты собрал материалы для новой, более крепкой удочки! Бамбук должен подойти, поможешь? Можешь воспользоваться моим верстаком вон там.
aki_chain_1_complete|This is a sturdy rod! Very nice. Now I just need a fishing line and a hook!|Крепкая удочка вышла! Очень хорошо. Теперь мне нужны только леска и крючок!
aki_chain_2|This fishing rod needs a sturdy line and a hook to match! Underground garden should have some spider webs that I can use to create the line. The hook however is a bit trickier. Look at the bottom of the seabed to see if you can locate anything useful.|Этой удочке нужна крепкая леска и подходящий крючок! В Подземном саду должна быть паутина, из которой я сделаю леску. А вот с крючком сложнее. Поищи на морском дне, вдруг найдешь что-то полезное.
aki_chain_2_complete|Nicely done! With this new fishing rod I'll be heading to the Fuji Coast to have a round two with the damn tuna! Meet me there, will you?|Отлично сработано! С этой новой удочкой я отправлюсь на побережье Фудзи на второй раунд с проклятым тунцом! Встретимся там?
aki_chain_3|I Sighted the damn tuna over there by the waves! I'm going to throw the bait. Can you help me out if the damn thing puts up a fight?|Я заметил чертова тунца вон там, в волнах! Забрасываю наживку. Поможешь мне, если эта тварь начнет сопротивляться?
aki_chain_3_complete|Thank you for rescuing me! Now all that's left for me to do is to file this tuna. Just like in Okinawa back in '95... The memories...|Спасибо, что спас меня! Теперь мне осталось только разделать этого тунца. Прямо как на Окинаве в 95-м... Воспоминания...
aki_chain_inprogress|[shake_letter]F I S H|[shake_letter]Р Ы Б А
aki_cutscene_bubble_1|[shake_letter]OH![shake_reset] I got a live one!|[shake_letter]ОХ![shake_reset] Клюет!
aki_cutscene_bubble_2|[c_yellow]IT'S TOO STRONG![shake_letter] HELP!|[c_yellow]ОН СЛИШКОМ СИЛЕН![shake_letter] ПОМОГИТЕ!
||
lily_npc_name|Lily|Лили
lily_npc_title|Semen Demon|Суккуб
lily_chain_1|You are far away from home, lost soul! I am Lily. I want to break free of these depths, but I need your help in doing so. To break my curse, I will need a powerful artifact. The Eternal Chalice is the first part I need. If you help me, I will in return help you to slay the one you are here for.|Ты далеко от дома, заблудшая душа! Я Лили. Я хочу вырваться из этих глубин, но мне нужна твоя помощь. Чтобы снять проклятие, мне нужен мощный артефакт. Вечная чаша — первая часть, которая мне нужна. Помоги мне, и взамен я помогу тебе убить того, за кем ты пришел.
lily_chain_1_complete|You found it? Praise be. One third of the artifact is complete! This next one may prove much more difficult, but I'm confident you will prevail, should you keep on helping me.|Нашел? Хвала небесам. Треть артефакта готова! Следующая часть может оказаться сложнее, но я уверена, что ты справишься, если продолжишь помогать мне.
lily_chain_2|I need you to head on to the PRISON and collect me some of the lost souls trapped in there. After that, I need you to go to Unmarked Graves and search them. There should be one that holds a seal of great power. After using the seal to bless the Eternal Chalice with the souls, bring it to me. And about the prisoners... don't worry about them, they are where they are for a reason.|Отправляйся в ТЮРЬМУ и собери для меня несколько заблудших душ, томящихся там. Затем иди к Безымянным могилам и обыщи их. В одной из них должна быть печать великой силы. Используй печать, чтобы благословить Вечную чашу душами, и принеси ее мне. А насчет узников... не беспокойся, они сидят там не просто так.
lily_chain_2_complete|Thank you. Now help me with the ritual!|Спасибо. Теперь помоги мне с ритуалом!
lily_chain_3|I need your help to channel the power of this artifact and break the curse! Accept my final quest and I shall reward you beyond your wildest beliefs!|Мне нужна твоя помощь, чтобы направить силу артефакта и снять проклятие! Прими мое последнее задание, и я награжу тебя сверх твоих самых смелых ожиданий!
lily_chain_3_complete|So, Lilith fooled you. But it was Lilith, who was foolish enough to think that a simple demonic ritual could make her strong enough to match your might. Praise be! Have a blessed day!|Итак, Лилит одурачила тебя. Но глупа была сама Лилит, полагая, что простой демонический ритуал сделает ее достаточно сильной, чтобы сравняться с тобой. Хвала небесам! Благословенного дня!
lily_chain_transform_dialog|[c_red]The deed is done... You fool!|[c_red]Дело сделано... Глупец!
lily_chain_inprogress|Poor lost soul...|Бедная заблудшая душа...
||
moira_npc_name|Moira|Мойра
moira_npc_title|Astrologist|Астролог
moira_chain_1|Hello, starchild! I am Moira, an astrologist! I see from your aura that you are a clear Taurus! Oh, you are not? I knew that. Of course you are not a Taurus. Anyway, I can see from your aura that you are a very capable warrior. Can you help me with a slight problem? My telescope is in Deep Space so I can look into the stars and see what secrets they have to tell! But the area is overrun by horrible monsters. If you slay the monsters lurking the area I'll pay you!|Здравствуй, звездное дитя! Я Мойра, астролог! По твоей ауре вижу — ты чистый Телец! О, нет? Я так и знала. Конечно же, ты не Телец. В любом случае, аура говорит, что ты способный воин. Не поможешь с одной маленькой проблемой? Мой телескоп находится в Глубоком космосе, чтобы я могла смотреть на звезды и узнавать их тайны! Но это место наводнили жуткие монстры. Если перебьешь их, я заплачу!
moira_chain_1_complete|Thank you, starchild! That was very brave, are you sure you are not a Taurus? I'll be heading back to my telescope then!|Спасибо, звездное дитя! Это было очень смело, ты точно не Телец? Ну, тогда я возвращаюсь к своему телескопу!
moira_chain_2|To thank you, I've prepared some Stardust Infused Tea for you! Have a sip and the whole Cosmos opens before your eyes! Don't be afraid, it's only slightly radioactive.|В благодарность я приготовила для тебя Чай со звездной пылью! Сделай глоток, и весь Космос откроется твоему взору! Не бойся, он лишь слегка радиоактивен.
moira_chain_2_complete|Oh no! I must have put too much Stardust into the tea! I'm so sorry, the stars told me to! You don't have long. There is an antidote for Stardust poisoning! Look for a Nebula Vial in the Distorted Horizons and consume it quickly!|О нет! Я положила слишком много звездной пыли! Прости, это звезды мне приказали! У тебя мало времени. Существует противоядие от отравления звездной пылью! Найди Фиал туманности в Искаженных горизонтах и выпей его скорее!
moira_chain_3|Oh no! I must have put too much Stardust into the tea! I'm so sorry, the stars told me to! You don't have long. There is an antidote for Stardust poisoning! Look for a Nebula Vial in the Distorted Horizons and consume it quickly!|О нет! Я положила слишком много звездной пыли! Прости, это звезды мне приказали! У тебя мало времени. Существует противоядие от отравления звездной пылью! Найди Фиал туманности в Искаженных горизонтах и выпей его скорее!
moira_chain_3_complete_good|I'm so sorry! I can't believe this recipe did not work. Please accept my apologies.|Мне так жаль! Не могу поверить, что рецепт не сработал. Прими мои извинения.
moira_chain_3_complete_bad|I'm so sorry! I can't believe this recipe did not work. Please accept my apologies.|Мне так жаль! Не могу поверить, что рецепт не сработал. Прими мои извинения.
moira_chain_4|I am so very sorry about that whole thing with the tea. But the stars told me about another recipe! With this recipe I can make a tea that will [shake_letter]double your strength forever![shake_reset] And don't you worry, Taurus. This time I will try it first to make sure it's not harmful! I just need a couple of ingredients from the Parallel Dimension.|Я ужасно извиняюсь за тот случай с чаем. Но звезды поведали мне еще один рецепт! Этот чай [shake_letter]удвоит твою силу навсегда![shake_reset] И не волнуйся, Телец. В этот раз я попробую его первой, чтобы убедиться в безопасности! Мне нужно лишь пару ингредиентов из Параллельного измерения.
moira_chain_4_complete|Well done, starchild. I finally got it! You must be a Capricorn! What? Not Capricorn either? I'll get there. This tea will allow me to see your aura more clearly. I'll have a taste test and then you can take the rest to get your [shake_letter]permanently tripled magic find![shake_reset]|Отлично, звездное дитя. Я наконец поняла! Ты, должно быть, Козерог! Что? Тоже нет? Ну, я догадаюсь. Этот чай позволит мне видеть твою ауру четче. Я попробую, а ты допьешь остальное, чтобы получить [shake_letter]утроенный поиск магии навсегда![shake_reset]||
[guild master kranosh]||
kranosh_create_guild|Good day to you, [heroname]! My name is Kranosh, I'm keeping tabs of all the [c_yellow]Guilds[c_reset]. For a small amount of coin I can let you register your own guild, if you are interested of course.|Доброго дня, [heroname]! Меня зовут Кранош, я веду учет всех [c_yellow]Гильдий[c_reset]. За небольшую плату я могу зарегистрировать твою собственную гильдию, если тебе интересно, конечно.
kranosh_guild_owner|What is your business now, [heroname]? Are you not happy with your [c_yellow]Guild[c_reset]?|Что привело тебя, [heroname]? Ты не доволен своей [c_yellow]Гильдией[c_reset]?
kranosh_in_guild|You are already a member of the respectable guild [globalvar,guildName]! What is it?|Ты уже состоишь в уважаемой гильдии [globalvar,guildName]! Что случилось?
||
kranosh_option_create_guild|Create a new guild|Создать новую гильдию
kranosh_option_change_guild_tag|Change Guild Tag|Изменить тег гильдии
kranosh_option_delete_guild|Delete Guild|Удалить гильдию
kranosh_option_bye|My mistake, bye!|Ошибся, пока!
kranosh_option_leave_guild|Leave [globalvar,guildName]|Покинуть [globalvar,guildName]
guild_create_dialog|[heroname]! By signing this paper you are officially founding a new guild!|[heroname]! Подписывая эту бумагу, ты официально основываешь новую гильдию!
||
terasawa_1|Domo arigato mistah robato... DOMO!!!|Домо аригато мистер робато... ДОМО!!!
terasawa_2|Sssshhh!|Тссс!
terasawa_3|Effo's out there somewhere, I'm sure of it.|Эффо где-то там, я уверен в этом.
terasawa_4|Walleye, Bass, Perch, Pike... I see them all!|Судак, басс, окунь, щука... Я вижу их всех!
terasawa_5|Leave me alone, I need to meet Effo at THE tree in a few.|Оставь меня в покое, мне нужно встретиться с Эффо у ТОГО дерева с минуты на минуту.
terasawa_6|Ah! [heroname]… your kind knows nothing about fishing!|А! [heroname]... такие, как ты, ничего не смыслят в рыбалке!
terasawa_7|You want my tips? Show me the money!|Хочешь советов? Гони монеты!
terasawa_8|"Effo told me a [heroname] would come to meet me, I was not expecting ""this""."|Эффо говорил мне, что [heroname] придет встретиться со мной, но я не ожидал «этого».
terasawa_9|You are too noisy.|Ты слишком шумишь.
terasawa_10|Stay quiet! it's near.|Тихо! Она рядом.
terasawa_11|30 years ago... let me tell you [heroname], there was much more fish and much bigger ones.|30 лет назад... скажу я тебе, [heroname], рыбы было намного больше, и она была крупнее.
terasawa_12|I know your father.|Я знаю твоего отца.
terasawa_13|Don't ever call me bro. Ever.|Никогда не зови меня «бро». Никогда.
terasawa_14|My back is suffering, but the bites are that good. Feels like the first time every time.|Спина болит, но клев того стоит. Каждый раз как в первый раз.
terasawa_15|Hmmmmppphhh.  Oh boy.  That's a big one, get the net ready.|Хммммфффф. О боже. Это крупная, готовь сачок!
||
[Additional Side Quest NPCs]||
olof_npc_name|Olof|Олоф
olof_npc_title|Retired hunter|Охотник в отставке
olof_chain_1|Good morning, adventurer! Or is it evening? I can hardly tell. I really need my medicine, but I dropped the vial somewhere at the Arctic Tundra. Please help me and find my medicine, will you? It must have slipped into one of those nasty icy cracks that are all over the place. [c_yellow]I really, REALLY need it![c_reset]|Доброе утро, искатель приключений! Или сейчас вечер? Трудно сказать. Мне очень нужно мое лекарство, но я обронил флакон где-то в Арктической тундре. Пожалуйста, помоги мне найти лекарство, а? Должно быть, оно завалилось в одну из этих мерзких ледяных трещин, что там повсюду. [c_yellow]Оно мне очень, ОЧЕНЬ нужно![c_reset]
olof_chain_1_complete|Glug, glug, glug... ah! This medicine is called the [c_aqua]Hair of the Dog[c_reset]. It really helps!|Глот, глот, глот... ах! Это лекарство называется [c_aqua]Собачья шерсть[c_reset]. Оно реально помогает!
olof_chain_1_pending|Did you find my medicine yet? I’m sure it’s somewhere in the Arctic Tundra!|Ты нашел мое лекарство? Я уверен, оно где-то в Арктической тундре!
olof_chain_all_complete|Remember to take your medicine daily!|Не забывай принимать лекарство ежедневно!
||
[Bosses]||
dialog_luna|Hahahahahahahahahaha.. Thank you for bringing me to Vanaheim you fool! Odin was too weak but now I posses the eternal power of the cosmos. Its time to finish what I started and BANISH YOU INTO THE ETHER!|Ахахахахахаха... Спасибо, что привел меня в Ванахейм, глупец! Один был слишком слаб, но теперь я владею вечной силой космоса. Пришло время закончить начатое и ИЗГНАТЬ ТЕБЯ В ЭФИР!
||
dialog_stabilizingTheRifts|Find and purge unstable rifts and we can expand your capacity of carrying essence vaults!|Находи и очищай нестабильные разломы, и мы сможем увеличить твою вместимость хранилищ эссенций!
dialog_stabilizingTheRifts_end|That was quick, enjoy your expanded capacity!|Быстро ты, наслаждайся увеличенной вместимостью!
dialog_essenceLockPicking|Obtain and open essence vaults and I will make sure to increase your capacity even more!|Добывай и открывай хранилища эссенций, и я увеличу твою вместимость еще больше!
dialog_essenceLockPicking_end|Great tinkering! Your capacity to carry vaults is now significant!|Отличная работа! Теперь ты можешь носить гораздо больше хранилищ!
dialog_vaultMaster|Craft essence vaults and open Tier A+ essence vaults and I will maximize your capacity!|Создавай хранилища эссенций и открывай хранилища ранга A+, и я доведу твою вместимость до максимума!
dialog_vaultMaster_end|May the alfather bless your path!|Да благословит Всеотец твой путь!
